Identifiant,Nom spectacle,Nom spectacle + [identifiant],URL,Lien image,Heure début,Heure fin,Durée,Lieu,Salle,Type Public,Jour relâche,Type,04/07/2025,05/07/2025,06/07/2025,07/07/2025,08/07/2025,09/07/2025,10/07/2025,11/07/2025,12/07/2025,13/07/2025,14/07/2025,15/07/2025,16/07/2025,17/07/2025,18/07/2025,19/07/2025,20/07/2025,21/07/2025,22/07/2025,23/07/2025,24/07/2025,25/07/2025,26/07/2025,Compagnie_website,Compagnie_instagram,Compagnie_facebook,Tarif_plein,Tarif_abonne,Tarif_enfant,Tarif_reduit,Entree_libre
5524,L'alchimie du bonheur,L'alchimie du bonheur [5524],http://www.festivaloffavignon.com/spectacles/5524-l-alchimie-du-bonheur,https://www.festivaloffavignon.com/data/spectacles/5524-zqdL5txMK2KrRz8X02nI-catalogue.jpg,13:40:00,14:40:00,1:00:00,CINÉVOX THÉÂTRE (LE),Salle 1,Jeune public de 5 à 14 ans,***,Magie,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,https://www.senseneveil.com,https://www.instagram.com/cie_sens_en_eveil/,https://www.facebook.com/ciesenseneveil,16€,11€,10€,,
6454,Haear,Haear [6454],http://www.festivaloffavignon.com/spectacles/6454-haear,https://www.festivaloffavignon.com/data/spectacles/6454-5kBryESsYEffVRBXGECN-catalogue.jpg,20:00:00,20:50:00,0:50:00,GOLOVINE (THÉÂTRE),GOLOVINE (THÉÂTRE),Tout public à partir de 8 ans,Lundi,Danse contemporaine,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,https://www.sarahmckfife.com,https://www.instagram.com/sarahmckfifecompany,https://www.facebook.com/sarah.mckfife.1,20€,14€,12€,,
7016,L'Envol,L'Envol [7016],http://www.festivaloffavignon.com/spectacles/7016-l-envol,https://www.festivaloffavignon.com/data/spectacles/7016-YajfZvp1husYTYNQfjJe-catalogue.jpg,12:30:00,13:40:00,1:10:00,CHAPELLE DE L'ORATOIRE,Chapelle de l'Oratoire,Tout public à partir de 12 ans,Mardi,Seul·e en scène,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,,https://www.instagram.com/raphaelle.hubin/,,18€,10€,10€,12€,
7122,Théâtre Mode d'Emploi,Théâtre Mode d'Emploi [7122],http://www.festivaloffavignon.com/spectacles/7122-thtre-mode-d-emploi,https://www.festivaloffavignon.com/data/spectacles/7122-tc4KiY3gin15h0sojhTh-catalogue.jpg,10:15:00,11:30:00,1:15:00,11 • AVIGNON,Espaces Mistral,Tout public à partir de 11 ans,Vendredi,Théâtre contemporain,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,https://www.spellmistakes.com/,,https://www.facebook.com/spellmistakes,23€,11€,11€,,
5543,"1, 2, 3, Sommeil !","1, 2, 3, Sommeil ! [5543]",http://www.festivaloffavignon.com/spectacles/5543-1-2-3-sommeil,https://www.festivaloffavignon.com/data/spectacles/5543-NMMI8y6ls3v7NURhrxTU-catalogue.jpg,21:30:00,23:00:00,1:30:00,CINÉVOX THÉÂTRE (LE),Salle 1,Tout public à partir de 8 ans,***,Comédie,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,,https://www.instagram.com/imaginez_asbl/,https://www.facebook.com/profile.php?id=61564525757098,24€,17€,12€,15€,
6255,Whisky,Whisky [6255],http://www.festivaloffavignon.com/spectacles/6255-whisky,https://www.festivaloffavignon.com/data/spectacles/6255-zV2dsUTHEN5GB1ba9ySy-catalogue.png,17:40:00,18:55:00,1:15:00,OBSERVANCE (THEATRE DE L'),Salle 2,Tout public à partir de 10 ans,Mercredi,Comédie,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,,http://www.instagram.com/la_cie_des_fossoyeurs,,23€,14€,10€,14€,
5639,Les Émotions du Magicien,Les Émotions du Magicien [5639],http://www.festivaloffavignon.com/spectacles/5639-les-motions-du-magicien,https://www.festivaloffavignon.com/data/spectacles/5639-DHTpFamIwdTif8kMXIxu-catalogue.jpg,11:40:00,12:30:00,0:50:00,Paradise République,STUDIO 0,Jeune public de 3 à 12 ans,Mardi,Théâtre musical,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,https://www.mnwproductions.com,https://www.instagram.com/mnwproductions/,,18€,10€,10€,12€,
7556,À fleur de mots,À fleur de mots [7556],http://www.festivaloffavignon.com/spectacles/7556-a-fleur-de-mots,https://www.festivaloffavignon.com/data/spectacles/7556-C6irCUkurLKCIsXBzFVa-catalogue.jpg,19:45:00,21:00:00,1:15:00,LUNA (LA) / LUNA THÉÂTRES,Salle 2,Tout public à partir de 7 ans,Mercredi,Pluridisciplinaire,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,https://www.compagniedelaliberte.com,https://www.instagram.com/compagnie.de.la.liberte/,https://www.facebook.com/Cie.de.la.Liberte,20€,14€,12€,12€,
7025,Les décoiffeuses,Les décoiffeuses [7025],http://www.festivaloffavignon.com/spectacles/7025-les-dcoiffeuses,https://www.festivaloffavignon.com/data/spectacles/7025-uK9BGZa0uRKtI7qy5LUH-catalogue.jpeg,19:50:00,21:05:00,1:15:00,PARIS (LE),Salle 2,Tout public à partir de 12 ans,,Comédie,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,,,,23€,14€,14€,14€,
7178,Contes d'amis,Contes d'amis [7178],http://www.festivaloffavignon.com/spectacles/7178-contes-d-amis,https://www.festivaloffavignon.com/data/spectacles/7178-eBHRWlj610NaToG8ti0Z-catalogue.jpg,10:15:00,11:15:00,1:00:00,BARRIQUES (THÉÂTRE DES),Salle Bleue,Tout public à partir de 8 ans,Mardi,Théâtre contemporain,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,https://compagnielesecries.wixsite.com/compagnie-les-ecries,https://www.instagram.com/cielesecries/,https://www.facebook.com/lesecries,19€,13€,8€,10€,
5506,Meurtre sexe et trahison,Meurtre sexe et trahison [5506],http://www.festivaloffavignon.com/spectacles/5506-meurtre-sexe-et-trahison,https://www.festivaloffavignon.com/data/spectacles/5506-DWlNjpxezrNc6Z2w2tMJ-catalogue.jpg,18:15:00,19:25:00,1:10:00,LAURETTE THÉÂTRE AVIGNON,SALLE 1 - Grande Salle,Tout public à partir de 10 ans,Jeudi,Comédie,False,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,,,,22€,15€,15€,,
7783,XPM,XPM [7783],http://www.festivaloffavignon.com/spectacles/7783-xpm,https://www.festivaloffavignon.com/data/spectacles/7783-KFQEvxqbcbAnHjS5tZ5K-catalogue.jpg,18:00:00,19:10:00,1:10:00,GOLOVINE (THÉÂTRE),GOLOVINE (THÉÂTRE),Tout public à partir de 10 ans,Lundi,Danse contemporaine,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,https://www.carperhythmum.com/,https://www.instagram.com/carperhythmum/,,20€,14€,12€,14€,
5991,Le paradoxe de l'endive,Le paradoxe de l'endive [5991],http://www.festivaloffavignon.com/spectacles/5991-le-paradoxe-de-l-endive,https://www.festivaloffavignon.com/data/spectacles/5991-yhmxruofq4VbXa3UQdFc-catalogue.jpg,14:55:00,16:10:00,1:15:00,ENTREPÔT (L') - Cie Mises en Scène,L'Entrepôt,Tout public à partir de 10 ans,,Seul·e en scène,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,https://www.cietaxibrousse.fr/,https://www.instagram.com/cietaxibrousse_,https://www.facebook.com/compagnietaxibrousse21,"18,5€",10€,10€,10€,
